brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,desc
Toyota,Supra 3.0 Premium,2021,"12,500 mi.",Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Yellow,Black,None reported,Yes,"$53,500 ","Toyota Supra 3.0 Premium 2021, Yellow exterior, Black interior, 12,500 mi., 382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel, A/T, Gasoline, None reported"
Lincoln,Aviator Reserve AWD,2022,"18,196 mi.",Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Brown,None reported,Yes,"$62,000 ","Lincoln Aviator Reserve AWD 2022, Black exterior, Brown interior, 18,196 mi., 400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel, Transmission w/Dual Shift Mode, Gasoline, None reported"
Jaguar,F-TYPE,2020,"15,903 mi.",Gasoline,2.0 Liter Supercharged,Automatic,Silver,Black,None reported,,"$47,998 ","Jaguar F-TYPE 2020, Silver exterior, Black interior, 15,903 mi., 2.0 Liter Supercharged, Automatic, Gasoline, None reported"
Land,Rover LR4 HSE,2013,"79,800 mi.",Gasoline,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,"$29,990 ","Land Rover LR4 HSE 2013, White exterior, Black interior, 79,800 mi., 375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel, A/T, Gasoline, None reported"
Mercedes-Benz,Metris Base,2021,"1,685 mi.",Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,Gray,White,None reported,Yes,"$250,000 ","Mercedes-Benz Metris Base 2021, Gray exterior, White interior, 1,685 mi., 2.0L I4 16V GDI DOHC Turbo, 9-Speed Automatic, Gasoline, None reported"
Dodge,Challenger SXT,2013,"61,074 mi.",Gasoline,305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,"$16,800 ","Dodge Challenger SXT 2013, Black exterior, Gray interior, 61,074 mi., 305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel, A/T, Gasoline, None reported"
Nissan,350Z Enthusiast,2003,"74,000 mi.",Gasoline,287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Purple,–,None reported,Yes,"$11,000 ","Nissan 350Z Enthusiast 2003, Purple exterior, – interior, 74,000 mi., 287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel, 6-Speed M/T, Gasoline, None reported"
Jaguar,F-TYPE R,2018,"35,250 mi.",Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Black,None reported,Yes,"$68,750 ","Jaguar F-TYPE R 2018, Green exterior, Black interior, 35,250 mi., 550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel, 8-Speed A/T, Gasoline, None reported"
Genesis,GV70 3.5T Sport,2023,"5,400 mi.",Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Beige,,,"$60,000 ","Genesis GV70 3.5T Sport 2023, Green exterior, Beige interior, 5,400 mi., 375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel, 8-Speed A/T, Gasoline, nan"
Chevrolet,S-10 LS,2000,"133,510 mi.",E85 Flex Fuel,120.0HP 2.2L 4 Cylinder Engine Flex Fuel Capability,A/T,Blue,Black,None reported,Yes,"$4,500 ","Chevrolet S-10 LS 2000, Blue exterior, Black interior, 133,510 mi., 120.0HP 2.2L 4 Cylinder Engine Flex Fuel Capability, A/T, E85 Flex Fuel, None reported"
BMW,440 Gran Coupe 440i xDrive,2020,"25,990 mi.",Gasoline,3.0 Liter Turbo,Automatic,White,Beige,None reported,,"$38,598 ","BMW 440 Gran Coupe 440i xDrive 2020, White exterior, Beige interior, 25,990 mi., 3.0 Liter Turbo, Automatic, Gasoline, None reported"
Ford,F-150 XLT,2023,"2,823 mi.",Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,Iconic Silver Metallic,Black,None reported,Yes,"$58,504 ","Ford F-150 XLT 2023, Iconic Silver Metallic exterior, Black interior, 2,823 mi., 3.5L V6 24V PDI DOHC Twin Turbo, Automatic, Gasoline, None reported"
Chevrolet,Suburban RST,2021,"52,000 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,Black,None reported,Yes,"$61,000 ","Chevrolet Suburban RST 2021, Blue exterior, Black interior, 52,000 mi., 355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel, 10-Speed A/T, Gasoline, None reported"
Hyundai,Elantra N Base,2022,"11,650 mi.",Gasoline,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,"$32,300 ","Hyundai Elantra N Base 2022, Black exterior, Black interior, 11,650 mi., 276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel, Transmission w/Dual Shift Mode, Gasoline, None reported"
Nissan,Sentra SR,2016,"96,541 mi.",Gasoline,1.8 Liter,Automatic,Blue,Black,None reported,,"$13,998 ","Nissan Sentra SR 2016, Blue exterior, Black interior, 96,541 mi., 1.8 Liter, Automatic, Gasoline, None reported"
Mercedes-Benz,AMG CLA 45 Base 4MATIC,2021,"17,500 mi.",Gasoline,382.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,"$59,995 ","Mercedes-Benz AMG CLA 45 Base 4MATIC 2021, Gray exterior, Black interior, 17,500 mi., 382.0HP 2.0L 4 Cylinder Engine Gasoline Fuel, A/T, Gasoline, None reported"
BMW,650 Gran Coupe i xDrive,2015,"69,000 mi.",Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,"$25,700 ","BMW 650 Gran Coupe i xDrive 2015, Gray exterior, Black interior, 69,000 mi., 445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel, 8-Speed A/T, Gasoline, None reported"
Audi,Q5 2.0T Premium Plus,2017,"81,880 mi.",E85 Flex Fuel,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,8-Speed Automatic,Mythos Black Metallic,Black,None reported,Yes,"$21,375 ","Audi Q5 2.0T Premium Plus 2017, Mythos Black Metallic exterior, Black interior, 81,880 mi., 2.0L I4 16V GDI DOHC Turbo Flexible Fuel, 8-Speed Automatic, E85 Flex Fuel, None reported"
Mercedes-Benz,AMG C 43 Base 4MATIC,2018,"28,800 mi.",Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Silver,Black,None reported,Yes,"$48,000 ","Mercedes-Benz AMG C 43 Base 4MATIC 2018, Silver exterior, Black interior, 28,800 mi., 362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel, 9-Speed A/T, Gasoline, None reported"
Dodge,Ram 1500 Laramie Mega Cab,2006,"300,183 mi.",Gasoline,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,"$10,900 ","Dodge Ram 1500 Laramie Mega Cab 2006, Silver exterior, Gray interior, 300,183 mi., 345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel, A/T, Gasoline, At least 1 accident or damage reported"
BMW,i3 120Ah w/Range Extender,2020,"35,035 mi.",Hybrid,120 AH,Automatic,Black,Black,None reported,,"$24,998 ","BMW i3 120Ah w/Range Extender 2020, Black exterior, Black interior, 35,035 mi., 120 AH, Automatic, Hybrid, None reported"
Kia,Sorento SX,2011,"171,000 mi.",Gasoline,276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,"$5,999 ","Kia Sorento SX 2011, Black exterior, Black interior, 171,000 mi., 276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel, A/T, Gasoline, None reported"
Lexus,LX 570 Base,2016,"118,700 mi.",Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,None reported,Yes,"$46,900 ","Lexus LX 570 Base 2016, Black exterior, Beige interior, 118,700 mi., 383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel, 8-Speed A/T, Gasoline, None reported"
Jeep,New Compass Trailhawk,2017,"119,000 mi.",Gasoline,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Black,None reported,Yes,"$15,900 ","Jeep New Compass Trailhawk 2017, Red exterior, Black interior, 119,000 mi., 180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel, A/T, Gasoline, None reported"
BMW,340 i,2018,"44,261 mi.",Gasoline,3.0 Liter Turbo,Automatic,Gray,Black,None reported,,"$33,598 ","BMW 340 i 2018, Gray exterior, Black interior, 44,261 mi., 3.0 Liter Turbo, Automatic, Gasoline, None reported"
Audi,A4 2.0T Premium Plus quattro,2012,"125,575 mi.",Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,"$8,999 ","Audi A4 2.0T Premium Plus quattro 2012, Silver exterior, Black interior, 125,575 mi., 211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel, 8-Speed A/T, Gasoline, None reported"
Hyundai,Tucson SE,2007,"16,200 mi.",Gasoline,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,None reported,Yes,"$8,200 ","Hyundai Tucson SE 2007, Gold exterior, Beige interior, 16,200 mi., 173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel, A/T, Gasoline, None reported"
BMW,Z4 sDrive28i,2014,"70,000 mi.",Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,"$20,000 ","BMW Z4 sDrive28i 2014, White exterior, Beige interior, 70,000 mi., 240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel, A/T, Gasoline, At least 1 accident or damage reported"
Bentley,Continental GTC Base,2011,"20,200 mi.",E85 Flex Fuel,552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,None reported,Yes,"$79,950 ","Bentley Continental GTC Base 2011, Black exterior, Black interior, 20,200 mi., 552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability, 6-Speed A/T, E85 Flex Fuel, None reported"
Honda,Passport Elite,2023,"2,978 mi.",Gasoline,3.5 Liter SOHC,Automatic,Lunar Silver Metallic,Gray,None reported,,"$45,498 ","Honda Passport Elite 2023, Lunar Silver Metallic exterior, Gray interior, 2,978 mi., 3.5 Liter SOHC, Automatic, Gasoline, None reported"
Dodge,Sprinter 2500,2007,"189,719 mi.",Diesel,3.0L V6 Cylinder Engine Diesel Fuel,5-Speed A/T,White,Gray,At least 1 accident or damage reported,Yes,"$14,000 ","Dodge Sprinter 2500 2007, White exterior, Gray interior, 189,719 mi., 3.0L V6 Cylinder Engine Diesel Fuel, 5-Speed A/T, Diesel, At least 1 accident or damage reported"
BMW,M850 i xDrive,2019,"9,949 mi.",Gasoline,4.4 Liter DOHC Twin Turbo,Automatic,Blue,Black,None reported,,"$75,798 ","BMW M850 i xDrive 2019, Blue exterior, Black interior, 9,949 mi., 4.4 Liter DOHC Twin Turbo, Automatic, Gasoline, None reported"
Lucid,Air Grand Touring,2022,"3,552 mi.",,536.0HP Electric Motor Electric Fuel System,1-Speed A/T,Red,Beige,None reported,Yes,"$119,999 ","Lucid Air Grand Touring 2022, Red exterior, Beige interior, 3,552 mi., 536.0HP Electric Motor Electric Fuel System, 1-Speed A/T, nan, None reported"
Audi,A7 Premium,2012,"54,000 mi.",Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Brown,At least 1 accident or damage reported,Yes,"$36,880 ","Audi A7 Premium 2012, Black exterior, Brown interior, 54,000 mi., 310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel, 8-Speed A/T, Gasoline, At least 1 accident or damage reported"
Chevrolet,Silverado 1500 Custom Trail Boss,2021,"51,351 mi.",Gasoline,5.3L V8 16V GDI OHV,Automatic,Black,Jet Black,None reported,Yes,"$43,147 ","Chevrolet Silverado 1500 Custom Trail Boss 2021, Black exterior, Jet Black interior, 51,351 mi., 5.3L V8 16V GDI OHV, Automatic, Gasoline, None reported"
MINI,Convertible John Cooper Works,2017,"24,280 mi.",Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,"$29,000 ","MINI Convertible John Cooper Works 2017, Black exterior, Black interior, 24,280 mi., 228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel, 6-Speed A/T, Gasoline, At least 1 accident or damage reported"
Toyota,Avalon Touring,2016,"89,148 mi.",Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,"$17,500 ","Toyota Avalon Touring 2016, Black exterior, Black interior, 89,148 mi., 268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel, A/T, Gasoline, None reported"
Porsche,Cayenne Platinum Edition,2017,"73,043 mi.",Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,"$30,990 ","Porsche Cayenne Platinum Edition 2017, White exterior, Black interior, 73,043 mi., 300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel, 8-Speed A/T, Gasoline, None reported"
Mercedes-Benz,AMG C 63 S,2017,"60,000 mi.",Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,"$52,500 ","Mercedes-Benz AMG C 63 S 2017, Gray exterior, Black interior, 60,000 mi., 503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel, Transmission w/Dual Shift Mode, Gasoline, At least 1 accident or damage reported"
Honda,CR-V EX-L,2016,"73,549 mi.",Gasoline,2.4L I4 16V GDI DOHC,Automatic CVT,Mountain Air Metallic,Black,At least 1 accident or damage reported,,"$20,848 ","Honda CR-V EX-L 2016, Mountain Air Metallic exterior, Black interior, 73,549 mi., 2.4L I4 16V GDI DOHC, Automatic CVT, Gasoline, At least 1 accident or damage reported"
Hummer,H2 Base,2005,"110,900 mi.",Gasoline,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,"$19,500 ","Hummer H2 Base 2005, Gray exterior, Black interior, 110,900 mi., 325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel, A/T, Gasoline, None reported"
Porsche,911 Carrera S,2013,"39,000 mi.",Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Black,None reported,Yes,"$73,000 ","Porsche 911 Carrera S 2013, Blue exterior, Black interior, 39,000 mi., 400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel, 7-Speed A/T, Gasoline, None reported"
Mercedes-Benz,CLA-Class CLA 250,2016,"120,000 mi.",Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,"$19,800 ","Mercedes-Benz CLA-Class CLA 250 2016, Black exterior, Black interior, 120,000 mi., 208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel, Transmission w/Dual Shift Mode, Gasoline, None reported"
Chrysler,300 Touring,2009,"134,602 mi.",Gasoline,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,None reported,Yes,"$7,500 ","Chrysler 300 Touring 2009, Blue exterior, Black interior, 134,602 mi., 250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel, Transmission w/Dual Shift Mode, Gasoline, None reported"
Nissan,Rogue SV,2023,"1,094 mi.",Gasoline,1.5L I3 12V GDI DOHC Turbo,Automatic CVT,Caspian Blue,Light Gray,None reported,,"$30,999 ","Nissan Rogue SV 2023, Caspian Blue exterior, Light Gray interior, 1,094 mi., 1.5L I3 12V GDI DOHC Turbo, Automatic CVT, Gasoline, None reported"
Audi,A3 2.0T,2010,"83,500 mi.",Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,"$6,500 ","Audi A3 2.0T 2010, Silver exterior, Black interior, 83,500 mi., 200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel, Transmission w/Dual Shift Mode, Gasoline, None reported"
Ford,Mustang GT Premium,2014,"37,060 mi.",Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,"$28,500 ","Ford Mustang GT Premium 2014, Black exterior, Black interior, 37,060 mi., 420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel, 6-Speed M/T, Gasoline, None reported"
Acura,RL Technology,2010,"97,700 mi.",Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Beige,None reported,Yes,"$10,995 ","Acura RL Technology 2010, Blue exterior, Beige interior, 97,700 mi., 300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel, Transmission w/Dual Shift Mode, Gasoline, None reported"
Volvo,XC90 Hybrid T8 R-Design,2018,"40,000 mi.",Plug-In Hybrid,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,"$42,000 ","Volvo XC90 Hybrid T8 R-Design 2018, Black exterior, Black interior, 40,000 mi., 400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas, Transmission w/Dual Shift Mode, Plug-In Hybrid, None reported"
Audi,R8 5.2 V10,2018,"8,940 mi.",Gasoline,5.2L V10 40V PDI DOHC,7-Speed Automatic with Auto-Shift,Tango Red Metallic,Black,None reported,,"$144,900 ","Audi R8 5.2 V10 2018, Tango Red Metallic exterior, Black interior, 8,940 mi., 5.2L V10 40V PDI DOHC, 7-Speed Automatic with Auto-Shift, Gasoline, None reported"
Mercedes-Benz,GLK-Class GLK 350,2014,"186,000 mi.",Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,At least 1 accident or damage reported,Yes,"$10,000 ","Mercedes-Benz GLK-Class GLK 350 2014, Black exterior, Beige interior, 186,000 mi., 302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel, A/T, Gasoline, At least 1 accident or damage reported"
Toyota,C-HR LE,2021,"13,180 mi.",Gasoline,2.0 Liter,CVT-F,–,–,None reported,,"$23,998 ","Toyota C-HR LE 2021, – exterior, – interior, 13,180 mi., 2.0 Liter, CVT-F, Gasoline, None reported"
Lexus,IS 350 Base,2014,"104,000 mi.",Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,"$21,000 ","Lexus IS 350 Base 2014, Black exterior, Black interior, 104,000 mi., 306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel, 8-Speed A/T, Gasoline, None reported"
BMW,X4 M40i,2023,"8,500 mi.",Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Gray,Beige,None reported,Yes,"$67,900 ","BMW X4 M40i 2023, Gray exterior, Beige interior, 8,500 mi., 382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid, Transmission w/Dual Shift Mode, Hybrid, None reported"
BMW,M4 CS,2019,"19,069 mi.",Gasoline,3.0 Liter DOHC Turbo,Automatic,Alpine White,Anthracite,None reported,,"$69,998 ","BMW M4 CS 2019, Alpine White exterior, Anthracite interior, 19,069 mi., 3.0 Liter DOHC Turbo, Automatic, Gasoline, None reported"
Cadillac,CT5 Premium Luxury,2023,"6,090 mi.",Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,"$46,900 ","Cadillac CT5 Premium Luxury 2023, White exterior, Beige interior, 6,090 mi., 237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel, A/T, Gasoline, None reported"
Lucid,Air Grand Touring,2022,"4,900 mi.",,536.0HP Electric Motor Electric Fuel System,1-Speed A/T,Red,Black,None reported,Yes,"$99,000 ","Lucid Air Grand Touring 2022, Red exterior, Black interior, 4,900 mi., 536.0HP Electric Motor Electric Fuel System, 1-Speed A/T, nan, None reported"
Audi,A5 2.0T Premium Plus,2019,"47,523 mi.",Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,"$31,000 ","Audi A5 2.0T Premium Plus 2019, Black exterior, Black interior, 47,523 mi., 248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel, Transmission w/Dual Shift Mode, Gasoline, None reported"
Chrysler,300C SRT8,2006,"43,000 mi.",Gasoline,425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,"$19,995 ","Chrysler 300C SRT8 2006, Silver exterior, Black interior, 43,000 mi., 425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel, 5-Speed A/T, Gasoline, At least 1 accident or damage reported"
Bentley,Continental GT W12,2017,"14,684 mi.",Gasoline,582.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,White,None reported,Yes,"$130,000 ","Bentley Continental GT W12 2017, White exterior, White interior, 14,684 mi., 582.0HP 6.0L 12 Cylinder Engine Gasoline Fuel, 8-Speed A/T, Gasoline, None reported"
BMW,M4 Base,2019,"57,800 mi.",Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Red,None reported,Yes,"$55,999 ","BMW M4 Base 2019, Black exterior, Red interior, 57,800 mi., 425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel, Transmission w/Dual Shift Mode, Gasoline, None reported"
Toyota,GR Corolla Circuit Edition,2023,952 mi.,Gasoline,300.0HP 1.6L 3 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Gray,None reported,Yes,"$49,950 ","Toyota GR Corolla Circuit Edition 2023, Silver exterior, Gray interior, 952 mi., 300.0HP 1.6L 3 Cylinder Engine Gasoline Fuel, 6-Speed M/T, Gasoline, None reported"
Audi,RS 5 2.9T,2019,"21,240 mi.",Gasoline,444.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,"$59,950 ","Audi RS 5 2.9T 2019, Black exterior, Black interior, 21,240 mi., 444.0HP 2.9L V6 Cylinder Engine Gasoline Fuel, 8-Speed A/T, Gasoline, At least 1 accident or damage reported"
Porsche,Cayenne Base,2019,"59,338 mi.",Gasoline,335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,"$42,499 ","Porsche Cayenne Base 2019, Black exterior, Black interior, 59,338 mi., 335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel, Transmission w/Dual Shift Mode, Gasoline, None reported"
Lamborghini,Huracan Tecnica Coupe,2023,255 mi.,Gasoline,"5.2L V-10 gasoline direct injection, DOHC, variable valve contro",Automatic,BLU ELEOS,Nero Ade,None reported,,"$359,991 ","Lamborghini Huracan Tecnica Coupe 2023, BLU ELEOS exterior, Nero Ade interior, 255 mi., 5.2L V-10 gasoline direct injection, DOHC, variable valve contro, Automatic, Gasoline, None reported"
